Palabra,Etiqueta_POS
guaycurúes,ADJ
",",PUNCT
y,CCONJ
envió,VERB
a,ADP
llamar,VERB
los,DET
otros,DET
"

",SPACE
CAPÍTULO,NUM
XXX,PROPN
"
",SPACE
Cómo,PRON
vinieron,VERB
a,ADP
dar,VERB
la,DET
obediencia,NOUN
los,DET
indios,NOUN
guaycurúes,ADJ
a,ADP
su,DET
majestad,NOUN
"
",SPACE
CAPÍTULO,PROPN
XXXI,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
",",PUNCT
hechas,VERB
las,DET
paces,NOUN
con,ADP
los,DET
guaycurúes,PROPN
",",PUNCT
les,PRON
entregó,VERB
los,DET
prisioneros,NOUN
CAPÍTULO,PROPN
XXXII,ADJ
"
",SPACE
Cómo,PRON
vinieron,VERB
los,DET
indios,NOUN
aperúes,PROPN
a,ADP
hacer,VERB
paz,NOUN
y,CCONJ
dar,VERB
la,DET
obediencia,NOUN
"

",SPACE
CAPÍTULO,PROPN
XXXIII,NOUN
"
",SPACE
De,ADP
la,DET
sentencia,NOUN
que,PRON
se,PRON
dio,VERB
contra,ADP
los,DET
agaces,ADV
",",PUNCT
"
",SPACE
con,ADP
parescer,NOUN
de,ADP
los,DET
religiosos,NOUN
y,CCONJ
capitanes,NOUN
y,CCONJ
oficiales,ADJ
de,ADP
Su,DET
Majestad,PROPN
"

",SPACE
CAPÍTULO,NUM
XXXIV,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
tornó,VERB
a,ADP
socorrer,VERB
a,ADP
los,DET
que,PRON
estaban,VERB
en,ADP
Buenos,PROPN
Aires,PROPN
"

",SPACE
CAPÍTULO,NUM
XXXV,NOUN
"
",SPACE
Cómo,PRON
se,PRON
volvieron,VERB
de,ADP
la,DET
entrada,NOUN
los,DET
tres,NUM
cristianos,NOUN
e,CCONJ
indios,NOUN
que,PRON
iban,AUX
a,ADP
descubrir,VERB
"

",SPACE
CAPÍTULO,PROPN
XXXVI,NOUN
"
",SPACE
Cómo,PRON
se,PRON
hizo,VERB
tablazón,NOUN
para,ADP
los,DET
bergantines,NOUN
y,CCONJ
una,DET
carabela,NOUN
"

",SPACE
CAPÍTULO,PROPN
XXXVII,NOUN
"
",SPACE
De,ADP
cómo,PRON
los,DET
indios,NOUN
de,ADP
la,DET
tierra,NOUN
se,PRON
tornaron,VERB
a,ADP
ofrecer,VERB
"

",SPACE
CAPÍTULO,PROPN
XXXVIII,PROPN
"
",SPACE
De,ADP
cómo,PRON
se,PRON
quemó,VERB
el,DET
pueblo,NOUN
de,ADP
la,DET
Ascensión,PROPN
"
",SPACE
CAPÍTULO,PROPN
XXXIX,PROPN
"
",SPACE
Cómo,PRON
vino,VERB
Domingo,PROPN
de,ADP
Irala,PROPN
"

",SPACE
CAPÍTULO,PROPN
XL,PROPN
"
",SPACE
De,ADP
lo,PRON
que,PRON
escribió,VERB
Gonzalo,PROPN
de,ADP
Mendoza,PROPN
"

",SPACE
CAPÍTULO,PROPN
XLI,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
socorrió,VERB
a,ADP
los,DET
que,PRON
estaban,VERB
con,ADP
Gonzalo,PROPN
de,ADP
Mendoza,PROPN
"

",SPACE
CAPÍTULO,PROPN
XLII,PROPN
"
",SPACE
De,ADP
cómo,PRON
en,ADP
la,DET
guerra,NOUN
murieron,VERB
cuatro,NUM
cristianos,NOUN
que,PRON
hirieron,VERB
"
",SPACE
CAPÍTULO,NUM
XLIII,PROPN
"
",SPACE
De,ADP
cómo,PRON
los,DET
frailes,NOUN
se,PRON
iban,AUX
huidos,ADJ
CAPÍTULO,PROPN
XLIV,ADP
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
llevó,VERB
a,ADP
la,DET
entrada,NOUN
cuatrocientos,NUM
hombres,NOUN
"

",SPACE
CAPÍTULO,PROPN
XLV,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
dejó,VERB
de,ADP
los,DET
bastimentos,NOUN
que,PRON
llevaba,VERB
"

",SPACE
CAPÍTULO,PROPN
XLVI,PROPN
"
",SPACE
Cómo,PRON
paró,VERB
por,ADP
hablar,VERB
a,ADP
los,DET
naturales,ADJ
de,ADP
la,DET
tierra,NOUN
de,ADP
aquel,DET
puerto,NOUN
"

",SPACE
CAPÍTULO,PROPN
XLVII,PROPN
"
",SPACE
De,ADP
como,SCONJ
envió,VERB
por,ADP
una,DET
lengua,NOUN
para,ADP
los,DET
payaguaes,NOUN
"

",SPACE
CAPÍTULO,PROPN
XLVIII,PROPN
"
",SPACE
De,ADP
cómo,PRON
en,ADP
este,DET
puerto,NOUN
se,PRON
embarcaron,VERB
los,DET
caballos,NOUN
"

",SPACE
CAPÍTULO,NUM
XLIX,PROPN
"
",SPACE
Cómo,PRON
por,ADP
este,DET
puerto,NOUN
entró,VERB
Juan,PROPN
de,ADP
Ayolas,PROPN
cuando,SCONJ
le,PRON
mataron,VERB
a,ADP
él,PRON
y,CCONJ
sus,DET
compañeros,NOUN
"

",SPACE
CAPÍTULO,PROPN
L,PROPN
"
",SPACE
Cómo,PRON
no,ADV
tornó,VERB
la,DET
lengua,NOUN
ni,CCONJ
los,DET
demás,PRON
que,PRON
habían,AUX
de,ADP
tornar,VERB
"
",SPACE
CAPÍTULO,PROPN
LI,PROPN
"
",SPACE
De,ADP
cómo,PRON
hablaron,VERB
los,DET
guaxarapos,NOUN
al,ADP
gobernador,NOUN
"

",SPACE
CAPÍTULO,PROPN
LII,PROPN
"
",SPACE
De,ADP
cómo,PRON
los,DET
indios,NOUN
de,ADP
la,DET
tierra,NOUN
vienen,VERB
a,ADP
vivir,VERB
en,ADP
la,DET
costa,NOUN
del,ADP
río,NOUN
"

",SPACE
CAPÍTULO,PROPN
LIII,PROPN
"
",SPACE
Cómo,PRON
a,ADP
la,DET
boca,NOUN
de,ADP
este,DET
río,NOUN
pusieron,VERB
tres,NUM
cruces,NOUN
"

",SPACE
CAPÍTULO,PROPN
LIV,PROPN
"
",SPACE
De,ADP
cómo,PRON
los,DET
indios,NOUN
del,ADP
puerto,NOUN
de,ADP
los,DET
Reyes,PROPN
son,AUX
labradores,NOUN
"
",SPACE
CAPÍTULO,PROPN
LV,PROPN
"
",SPACE
Cómo,PRON
poblaron,VERB
aquí,ADV
los,DET
indios,NOUN
de,ADP
García,PROPN
CAPÍTULO,PROPN
LVI,PROPN
De,ADP
cómo,PRON
habló,VERB
con,ADP
los,DET
chaneses,NOUN
"

",SPACE
CAPÍTULO,NUM
LVII,ADJ
"
",SPACE
Cómo,PRON
el,DET
gobernador,NOUN
envió,VERB
a,ADP
buscar,VERB
los,DET
indios,NOUN
de,ADP
García,PROPN
"

",SPACE
CAPÍTULO,ADJ
LVIII,NOUN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
habló,VERB
a,ADP
los,DET
oficiales,NOUN
y,CCONJ
les,PRON
dio,VERB
aviso,NOUN
de,ADP
lo,PRON
que,PRON
pasaba,VERB
"

",SPACE
CAPÍTULO,PROPN
LIX,PROPN
"
",SPACE
Cómo,PRON
el,DET
gobernador,NOUN
envió,VERB
a,ADP
los,DET
xarayes,NOUN
"

",SPACE
CAPÍTULO,VERB
LX,PROPN
"
",SPACE
De,ADP
cómo,PRON
volvieron,VERB
las,DET
lenguas,NOUN
de,ADP
los,DET
indios,NOUN
xarayes,NOUN
"

",SPACE
CAPÍTULO,VERB
LXI,PROPN
"
",SPACE
Cómo,PRON
se,PRON
determinó,VERB
de,ADP
hacer,VERB
la,DET
entrada,NOUN
el,DET
gobernador,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXII,ADJ
"
",SPACE
De,ADP
cómo,PRON
llegó,VERB
al,ADP
río,NOUN
Caliente,ADJ
"

",SPACE
CAPÍTULO,PROPN
LXIII,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
envió,VERB
a,ADP
buscar,VERB
la,DET
casa,NOUN
que,PRON
estaba,AUX
adelante,ADV
"
",SPACE
CAPÍTULO,PROPN
LXIV,ADJ
"
",SPACE
De,ADP
cómo,PRON
vino,VERB
la,DET
lengua,NOUN
de,ADP
la,DET
casilla,NOUN
"

",SPACE
CAPÍTULO,NOUN
LXV,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
y,CCONJ
gente,NOUN
se,PRON
volvió,VERB
al,ADP
puerto,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXVI,NOUN
"
",SPACE
De,ADP
cómo,PRON
querían,VERB
matar,VERB
a,ADP
los,DET
que,PRON
quedaron,VERB
en,ADP
el,DET
puerto,NOUN
de,ADP
los,DET
Reyes,PROPN
"

",SPACE
CAPÍTULO,ADJ
LXVII,ADJ
"
",SPACE
De,ADP
cómo,PRON
el,DET
gobernador,NOUN
envió,VERB
a,ADP
buscar,VERB
bastimentos,NOUN
al,ADP
capitán,NOUN
Mendoza,PROPN
"
",SPACE
CAPÍTULO,PROPN
LXVIII,PROPN
"
",SPACE
De,ADP
cómo,PRON
envió,VERB
un,DET
bergantín,NOUN
a,ADP
descubrir,VERB
el,DET
río,NOUN
de,ADP
los,DET
xarayes,NOUN
",",PUNCT
y,CCONJ
en,ADP
él,PRON
el,DET
capitán,NOUN
Ribera,PROPN
CAPÍTULO,PROPN
LXIX,PROPN
"
",SPACE
De,ADP
cómo,PRON
vino,VERB
de,ADP
la,DET
entrada,NOUN
el,DET
capitán,NOUN
Francisco,PROPN
de,ADP
Ribera,PROPN
"

",SPACE
CAPÍTULO,PROPN
LXX,PROPN
"
",SPACE
De,ADP
cómo,PRON
el,DET
capitán,NOUN
Francisco,PROPN
Ribera,PROPN
dio,VERB
cuenta,NOUN
de,ADP
su,DET
descubrimiento,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXI,PROPN
"
",SPACE
De,ADP
cómo,PRON
envió,VERB
a,ADP
llamar,VERB
al,ADP
capitán,NOUN
Gonzalo,PROPN
de,ADP
Mendoza,PROPN
"

",SPACE
CAPÍTULO,PROPN
LXXII,ADJ
"
",SPACE
De,ADP
cómo,PRON
vino,VERB
Hernando,PROPN
de,ADP
Ribera,PROPN
y,CCONJ
de,ADP
su,DET
entrada,NOUN
que,PRON
hizo,VERB
por,ADP
el,DET
río,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXIII,PROPN
"
",SPACE
De,ADP
lo,PRON
que,PRON
acontesció,VERB
al,ADP
gobernador,NOUN
y,CCONJ
gente,NOUN
en,ADP
este,DET
pueblo,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXIV,PROPN
"
",SPACE
Cómo,PRON
el,DET
gobernador,NOUN
llegó,VERB
con,ADP
su,DET
gente,NOUN
a,ADP
la,DET
Ascensión,PROPN
",",PUNCT
y,CCONJ
aquí,ADV
le,PRON
prendieron,VERB
"

",SPACE
CAPÍTULO,NUM
LXXV,PROPN
"
",SPACE
De,ADP
cómo,PRON
juntaron,VERB
la,DET
gente,NOUN
ante,ADP
la,DET
casa,NOUN
de,ADP
Domingo,PROPN
de,ADP
Irala,PROPN
"
",SPACE
CAPÍTULO,PROPN
LXXVI,PROPN
"
",SPACE
De,ADP
los,DET
alborotos,NOUN
y,CCONJ
escándalos,NOUN
que,PRON
hobo,ADJ
en,ADP
la,DET
tierra,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXVII,PROPN
"
",SPACE
De,ADP
cómo,PRON
tenían,VERB
preso,NOUN
al,ADP
gobernador,NOUN
en,ADP
una,DET
prisión,NOUN
muy,ADV
áspera,ADJ
"

",SPACE
CAPÍTULO,ADJ
LXXVIII,PROPN
"
",SPACE
Cómo,PRON
robaban,VERB
la,DET
tierra,NOUN
los,DET
alzados,NOUN
",",PUNCT
y,CCONJ
tomaban,VERB
por,ADP
fuerza,NOUN
sus,DET
haciendas,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXIX,PROPN
"
",SPACE
Cómo,PRON
se,PRON
fueron,AUX
los,DET
frailes,NOUN
CAPÍTULO,PROPN
LXXX,PROPN
De,ADP
cómo,PRON
atormentaban,VERB
a,ADP
los,DET
que,PRON
no,ADV
eran,AUX
de,ADP
su,DET
opinión,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXXI,PROPN
"
",SPACE
Cómo,PRON
quisieron,VERB
matar,VERB
a,ADP
un,DET
regidor,NOUN
porque,SCONJ
les,PRON
hizo,VERB
un,DET
requerimiento,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXXII,PROPN
"
",SPACE
Cómo,PRON
dieron,VERB
licencia,NOUN
los,DET
alzados,ADJ
a,ADP
los,DET
indios,NOUN
que,PRON
comiesen,VERB
carne,NOUN
humana,ADJ
"

",SPACE
CAPÍTULO,ADJ
LXXXIII,ADJ
"
",SPACE
De,ADP
cómo,PRON
habían,AUX
de,ADP
escribir,VERB
a,ADP
Su,DET
Majestad,PROPN
y,CCONJ
enviar,VERB
la,DET
relación,NOUN
"

",SPACE
CAPÍTULO,PROPN
LXXXIV,PROPN
"
",SPACE
Cómo,PRON
dieron,VERB
rejalgar,VERB
tres,NUM
veces,NOUN
al,ADP
gobernador,NOUN
viniendo,VERB
en,ADP
este,DET
camino,NOUN
"


",SPACE
COMENTARIOS,NOUN
"


",SPACE
CAPÍTULO,VERB
PRIMERO,ADJ
"
",SPACE
De,ADP
los,DET
comentarios,NOUN
de,ADP
Alvar,PROPN
Núñez,PROPN
Cabeza,PROPN
de,ADP
Vaca,PROPN
"
",SPACE
Después,ADV
que,SCONJ
Dios,PROPN
nuestro,DET
Señor,NOUN
fue,AUX
servido,VERB
de,ADP
sacar,VERB
a,ADP
Alvar,PROPN
Núñez,PROPN
Cabeza,PROPN
de,ADP
Vaca,PROPN
del,ADP
captiverio,ADJ
y,CCONJ
trabajos,NOUN
que,PRON
tuvo,VERB
diez,NUM
años,NOUN
en,ADP
la,DET
Florida,PROPN
y,CCONJ
vino,VERB
a,ADP
estos,DET
reinos,NOUN
en,ADP
el,DET
año,NOUN
del,ADP
Señor,PROPN
de,ADP
1537,NUM
",",PUNCT
donde,PRON
estuvo,VERB
hasta,ADP
el,DET
año,NOUN
de,ADP
40,NUM
",",PUNCT
en,ADP
el,DET
cual,PRON
vinieron,VERB
a,ADP
esta,DET
corte,NOUN
de,ADP
Su,DET
Majestad,PROPN
personas,NOUN
del,ADP
Río,PROPN
de,ADP
la,DET
Plata,PROPN
a,ADP
dar,VERB
cuenta,NOUN
a,ADP
Su,DET
Majestad,PROPN
de,ADP
suceso,NOUN
de,ADP
la,DET
armada,NOUN
que,PRON
allí,ADV
había,AUX
enviado,VERB
don,NOUN
Pedro,PROPN
de,ADP
Mendoza,PROPN
",",PUNCT
y,CCONJ
de,ADP
los,DET
trabajos,NOUN
en,ADP
que,PRON
estaban,VERB
los,DET
que,PRON
de,ADP
ellos,PRON
escaparon,VERB
",",PUNCT
y,CCONJ
a,ADP
le,PRON
suplicar,VERB
fuese,AUX
servido,VERB
de,ADP
los,DET
proveer,VERB
y,CCONJ
socorrer,VERB
",",PUNCT
antes,ADV
que,SCONJ
todos,PRON
peresciesen,VERB
(,PUNCT
porque,SCONJ
ya,ADV
quedaban,VERB
pocos,PRON
de,ADP
ellos,PRON
),PUNCT
.,PUNCT
Y,CCONJ
sabido,VERB
por,ADP
Su,DET
Majestad,PROPN
",",PUNCT
mandó,VERB
que,SCONJ
se,PRON
tomase,VERB
cierto,DET
asiento,NOUN
y,CCONJ
capitulación,NOUN
con,ADP
Alvar,PROPN
Núñez,PROPN
Cabeza,PROPN
de,ADP
Vaca,PROPN
para,ADP
que,SCONJ
fuese,AUX
a,ADP
socorrellos,VERB
;,PUNCT
el,DET
cual,PRON
asiento,NOUN
y,CCONJ
capitulación,NOUN
se,PRON
efectuó,VERB
",",PUNCT
mediante,ADP
que,PRON
el,DET
dicho,ADJ
Cabeza,PROPN
de,ADP
Vaca,PROPN
se,PRON
ofresció,VERB
de,ADP
los,DET
ir,AUX
a,ADP
socorrer,VERB
",",PUNCT
y,CCONJ
que,PRON
gastaría,VERB
en,ADP
la,DET
jomada,ADJ
y,CCONJ
socorro,NOUN
que,PRON
así,ADV
había,AUX
de,ADP
hacer,VERB
",",PUNCT
en,ADP
caballos,NOUN
",",PUNCT
armas,NOUN
",",PUNCT
ropas,NOUN
y,CCONJ
bastimentos,NOUN
y,CCONJ
otras,DET
cosas,NOUN
",",PUNCT
ocho,NUM
mil,NUM
ducados,NOUN
",",PUNCT
y,CCONJ
por,ADP
la,DET
capitulación,NOUN
y,CCONJ
asiento,NOUN
que,PRON
con,ADP
Su,DET
Majestad,PROPN
tomó,VERB
",",PUNCT
le,PRON
hizo,VERB
merced,NOUN
de,ADP
la,DET
gobernación,NOUN
y,CCONJ
de,ADP
la,DET
capitanía,NOUN
general,ADJ
de,ADP
aquella,DET
tierra,NOUN
y,CCONJ
provincia,NOUN
",",PUNCT
con,ADP
título,NOUN
de,ADP
adelantado,NOUN
de,ADP
ella,PRON
;,PUNCT
y,CCONJ
asimesmo,NOUN
le,PRON
hizo,VERB
merced,NOUN
del,DET
dozavo,NOUN
de,ADP
todo,DET
lo,PRON
que,PRON
en,ADP
la,DET
tierra,NOUN
y,CCONJ
provincia,NOUN
se,PRON
hobiese,VERB
y,CCONJ
lo,PRON
que,PRON
en,ADP
ella,PRON
entrase,VERB
y,CCONJ
saliese,VERB
",",PUNCT
con,ADP
tanto,NOUN
que,SCONJ
el,DET
dicho,ADJ
Alvar,PROPN
Núñez,PROPN
gastase,VERB
en,ADP
la,DET
jornada,NOUN
los,DET
dichos,ADJ
ocho,NUM
mil,NUM
ducados,NOUN
;,PUNCT
y,CCONJ
así,ADV
",",PUNCT
él,PRON
",",PUNCT
en,ADP
cumplimiento,NOUN
del,ADP
asiento,NOUN
que,PRON
con,ADP
Su,DET
Majestad,PROPN
hizo,VERB
",",PUNCT
se,PRON
partió,VERB
luego,ADV
a,ADP
Sevilla,PROPN
",",PUNCT
para,ADP
poner,VERB
en,ADP
obra,NOUN
lo,PRON
capitulado,ADJ
y,CCONJ
proveerse,VERB
para,ADP
el,DET
dicho,ADJ
socorro,NOUN
y,CCONJ
armada,ADJ
;,PUNCT
y,CCONJ
para,ADP
ello,PRON
mercó,VERB
dos,NUM
naos,NOUN
y,CCONJ
una,DET
carabela,NOUN
para,ADP
con,ADP
otra,PRON
que,PRON
le,PRON
esperaba,VERB
en,ADP
